,serum,virus,replicate,concentration,fraction infectivity
0,7C_d29,pre-depletion,1,0.05,0.006288860441199091
1,7C_d29,pre-depletion,1,0.016666666666666666,0.13348525906502373
2,7C_d29,pre-depletion,1,0.005555555555555556,0.2635343917485864
3,7C_d29,pre-depletion,1,0.001851851851851852,0.6071665209844419
4,7C_d29,pre-depletion,1,0.0006172839506172839,0.8774260195683461
5,7C_d29,pre-depletion,1,0.000205761316872428,0.9741935873835018
6,7C_d29,pre-depletion,1,6.858710562414266e-05,1.03099581427837
7,7C_d29,pre-depletion,2,0.05,0.025918190150630092
8,7C_d29,pre-depletion,2,0.016666666666666666,0.161982695724086
9,7C_d29,pre-depletion,2,0.005555555555555556,0.2481800119803886
10,7C_d29,pre-depletion,2,0.001851851851851852,0.6642273869961804
11,7C_d29,pre-depletion,2,0.0006172839506172839,0.9265259942155192
12,7C_d29,pre-depletion,2,0.000205761316872428,0.9737986837890059
13,7C_d29,pre-depletion,2,6.858710562414266e-05,1.0019811131930467
14,7C_d29,post-depletion,1,0.05,0.3702533214514085
15,7C_d29,post-depletion,1,0.016666666666666666,0.5625358612087022
16,7C_d29,post-depletion,1,0.005555555555555556,0.5856056959347012
17,7C_d29,post-depletion,1,0.001851851851851852,0.8383527877310978
18,7C_d29,post-depletion,1,0.0006172839506172839,1.01414839097843
19,7C_d29,post-depletion,1,0.000205761316872428,0.9447396893559378
20,7C_d29,post-depletion,1,6.858710562414266e-05,0.9765224957007801
21,7C_d29,post-depletion,2,0.05,0.3673853875206737
22,7C_d29,post-depletion,2,0.016666666666666666,0.6117445407776941
23,7C_d29,post-depletion,2,0.005555555555555556,0.5350375762927465
24,7C_d29,post-depletion,2,0.001851851851851852,0.8369571106743183
25,7C_d29,post-depletion,2,0.0006172839506172839,0.9573555361870609
26,7C_d29,post-depletion,2,0.000205761316872428,1.0941233912547659
27,7C_d29,post-depletion,2,6.858710562414266e-05,0.9499003024480024
28,7C_d103,pre-depletion,1,0.05,0.013443440300319465
29,7C_d103,pre-depletion,1,0.016666666666666666,0.11659163710526295
30,7C_d103,pre-depletion,1,0.005555555555555556,0.43363313823559363
31,7C_d103,pre-depletion,1,0.001851851851851852,0.7355531431130388
32,7C_d103,pre-depletion,1,0.0006172839506172839,0.7806702984696227
33,7C_d103,pre-depletion,1,0.000205761316872428,0.7842248102884475
34,7C_d103,pre-depletion,1,6.858710562414266e-05,0.8240567246100942
35,7C_d103,pre-depletion,2,0.05,0.003509913822144874
36,7C_d103,pre-depletion,2,0.016666666666666666,0.1300766689309444
37,7C_d103,pre-depletion,2,0.005555555555555556,0.3785322063081111
38,7C_d103,pre-depletion,2,0.001851851851851852,0.5876126806856704
39,7C_d103,pre-depletion,2,0.0006172839506172839,0.6256711877105641
40,7C_d103,pre-depletion,2,0.000205761316872428,0.7977092905100234
41,7C_d103,pre-depletion,2,6.858710562414266e-05,0.8769638258651105
42,7C_d103,post-depletion,1,0.05,0.897215841266976
43,7C_d103,post-depletion,1,0.016666666666666666,1.1613196437860995
44,7C_d103,post-depletion,1,0.005555555555555556,0.9797225281276626
45,7C_d103,post-depletion,1,0.001851851851851852,0.895747885105358
46,7C_d103,post-depletion,1,0.0006172839506172839,0.9674083734963314
47,7C_d103,post-depletion,1,0.000205761316872428,0.9101171211527961
48,7C_d103,post-depletion,1,6.858710562414266e-05,0.9579998167689123
49,7C_d103,post-depletion,2,0.05,0.846116784405355
50,7C_d103,post-depletion,2,0.016666666666666666,1.192306974381199
51,7C_d103,post-depletion,2,0.005555555555555556,0.8914636252251067
52,7C_d103,post-depletion,2,0.001851851851851852,0.9527748057443405
53,7C_d103,post-depletion,2,0.0006172839506172839,0.8590950428286187
54,7C_d103,post-depletion,2,0.000205761316872428,0.9117732984725693
